SYMBOL,NAME_OF_COMPANY,SERIES,DATE_OF_LISTING,PAID_UP_VALUE,ISIN_NUMBER,FACE_VALUE,
VIESL,Vision Infra Equipment Solutions Limited,SM,13-Sep-24,10,INE0TR001017,10,
MYMUDRA,My Mudra Fincorp Limited,SM,12-Sep-24,10,INE0RVQ01016,10,
NAMOEWASTE,Namo eWaste Management Limited,SM,11-Sep-24,10,INE08NZ01012,10,
JEYYAM,Jeyyam Global Foods Limited,SM,09-Sep-24,5,INE0RXB01022,5,
BOSS,Boss Packaging Solutions Limited,SM,06-Sep-24,10,INE0QNI01012,10,
PARAMATRIX,Paramatrix Technologies Limited,SM,04-Sep-24,10,INE0S2W01018,10,
AERON,Aeron Composite Limited,SM,04-Sep-24,10,INE0WL801011,10,
VDEAL,Vdeal System Limited,SM,03-Sep-24,10,INE0U2M01015,10,
IPHL,Indian Phosphate Limited,SM,03-Sep-24,10,INE0DHF01018,10,
JAYBEE,Jay Bee Laminations Limited,ST,03-Sep-24,10,INE0SMY01017,10,
QVCEL,QVC Exports Limited,SM,28-Aug-24,10,INE0KZF01015,10,
IDEALTECHO,Ideal Technoplast Industries Limited,SM,28-Aug-24,10,INE0T9I01011,10,
FORCAS,Forcas Studio Limited,SM,26-Aug-24,10,INE0U2501017,10,
BRACEPORT,Brace Port Logistics Limited,SM,26-Aug-24,10,INE0R4Z01018,10,
BALCO,Solve Plastic Products Limited,ST,21-Aug-24,10,INE0U0201016,10,
POSITRON,Positron Energy Limited,ST,20-Aug-24,10,INE0S3H01017,10,
SUNLITE,Sunlite Recycling Industries Limited,ST,20-Aug-24,10,INE0U2N01013,10,
AESTHETIK,Aesthetik Engineers Limited,SM,16-Aug-24,10,INE0TSF01011,10,
PPSL,Picturepost Studios Limited,ST,09-Aug-24,1,INE0YAL01017,1,
DHARIWAL,Dhariwalcorp Limited,SM,08-Aug-24,2,INE0YRN01025,2,
UTSSAV,Utssav CZ Gold Jewels Limited,SM,07-Aug-24,10,INE06IJ01010,10,
ASHALOG,Ashapura Logistics Limited,SM,06-Aug-24,10,INE0LAA01017,10,
SSEGL,Sathlokhar Synergys E&C Global Limited,SM,06-Aug-24,10,INE0RFP01011,10,
RAJINDLTD,Rajputana Industries Limited,SM,06-Aug-24,10,INE0PCU01012,10,
BULKCORP,Bulkcorp International Limited,SM,06-Aug-24,10,INE0SZ301012,10,
