SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
BPF01D3R,Baroda BNP Paribas Credit Risk Fund SG1 Direct Quarterly IDCW Reinvt,MF,23-MAR-2020,1,1,INF955L01IV2,10
BPF01GPG,Baroda BNP Paribas Credit Risk Fund SG1 Regular Growth,MF,23-MAR-2020,1,1,INF955L01IO7,10
BPF01MDD,Baroda BNP Paribas Credit Risk Fund SG1 Regular Monthly IDCW Payout,MF,23-MAR-2020,1,1,INF955L01IR0,10
BPF01MDR,Baroda BNP Paribas Credit Risk Fund SG1 Regular Monthly IDCW Reinvt,MF,23-MAR-2020,1,1,INF955L01IS8,10
BPF01QDD,Baroda BNP Paribas Credit Risk Fund SG1 Regular Quarterly IDCW Payout,MF,23-MAR-2020,1,1,INF955L01IP4,10
BPF01QDR,Baroda BNP Paribas Credit Risk Fund SG1 Regular Quarterly IDCW Reinvt,MF,23-MAR-2020,1,1,INF955L01IQ2,10
BPF02D1R,Baroda BNP Paribas Medium Duration Fund SG1 Direct Daily IDCW Reinvt,MF,23-MAR-2020,1,1,INF955L01JK3,1000
BPF02D2G,Baroda BNP Paribas Medium Duration Fund SG1 Direct Growth,MF,23-MAR-2020,1,1,INF955L01JF3,1000
BPF02D3D,Baroda BNP Paribas Medium Duration Fund SG1 Direct Monthly IDCW Payout,MF,23-MAR-2020,1,1,INF955L01JI7,1000
BPF02D3R,Baroda BNP Paribas Medium Duration Fund SG1 Direct Monthly IDCW Reinvt,MF,23-MAR-2020,1,1,INF955L01JJ5,1000
BPF02D4D,Baroda BNP Paribas Medium Duration Fund SG1 Direct Qtly IDCW Payout,MF,23-MAR-2020,1,1,INF955L01JG1,1000
BPF02D4R,Baroda BNP Paribas Medium Duration Fund SG1 Direct Qtly IDCW Reinvt,MF,23-MAR-2020,1,1,INF955L01JH9,1000
BPF02D5R,Baroda BNP Paribas Medium Duration Fund SG1 Direct Weekly Reinvt,MF,23-MAR-2020,1,1,INF955L01JL1,1000
BPF02IDR,Baroda BNP Paribas Medium Duration Fund SG1 Regular Daily IDCW Reinvt,MF,23-MAR-2020,1,1,INF955L01JD8,1000
BPF02IGG,Baroda BNP Paribas Medium Duration Fund SG1 Regular Growth,MF,23-MAR-2020,1,1,INF955L01IY6,1000
BPF02IMD,Baroda BNP Paribas Medium Duration Fund SG1 Regular Mthly IDCW Payout,MF,23-MAR-2020,1,1,INF955L01JB2,1000
BPF02IMR,Baroda BNP Paribas Medium Duration Fund SG1 Regular Mthly IDCW Reinvt,MF,23-MAR-2020,1,1,INF955L01JC0,1000
BPF02IQD,Baroda BNP Paribas Medium Duration Fund SG1 Regular Qtly IDCW Payout,MF,23-MAR-2020,1,1,INF955L01IZ3,1000
BPF02IWR,Baroda BNP Paribas Medium Duration Fund SG1 Regular Weekly IDCW Reinvt,MF,23-MAR-2020,1,1,INF955L01JE6,1000
BPF02RDR,Baroda BNP Paribas Medium Duration Fund SG1 Defunct Daily IDCW Reinvt,MF,23-MAR-2020,1,1,INF955L01JN7,1000
BPF02RGG,Baroda BNP Paribas Medium Duration Fund SG1 Defunct Growth,MF,23-MAR-2020,1,1,INF955L01JM9,1000
BPF02RMD,Baroda BNP Paribas Medium Duration Fund SG1 Defunct Mthly IDCW Payout,MF,23-MAR-2020,1,1,INF955L01JP2,1000
BPF02RMR,Baroda BNP Paribas Medium Duration Fund SG1 Defunct Mthly IDCW Reinvt,MF,23-MAR-2020,1,1,INF955L01JQ0,1000
BPF02RWR,Baroda BNP Paribas Medium Duration Fund SG1 Defunct Weekly IDCW Reinvt,MF,23-MAR-2020,1,1,INF955L01JO5,1000
